date,location,sumConfirmed,sumRecovered,symptoms
"2020-05-17 00:00:00","New Zealand",0,0,35.16
"2020-05-17 00:00:00","United Kingdom",3674,0,34.89
"2020-05-17 00:00:00","United States",39615,2642,22.3
"2020-05-18 00:00:00",Australia,24,54,31.42
"2020-05-18 00:00:00",Ireland,51,0,35.77
"2020-05-18 00:00:00","New Zealand",4,0,35.33
"2020-05-18 00:00:00","United Kingdom",5162,0,47.18
"2020-05-18 00:00:00","United States",43100,7538,23.67
"2020-05-19 00:00:00",Australia,16,38,30.11
"2020-05-19 00:00:00",Ireland,64,0,30.4
"2020-05-19 00:00:00","New Zealand",0,0,34.26
"2020-05-19 00:00:00","United Kingdom",6126,0,30.94
"2020-05-19 00:00:00","United States",41944,5635,23.17
"2020-05-20 00:00:00",Australia,24,70,30.26
"2020-05-20 00:00:00",Ireland,76,0,27.68
"2020-05-20 00:00:00","New Zealand",0,0,33.49
"2020-05-20 00:00:00","United Kingdom",5438,0,26.4
"2020-05-20 00:00:00","United States",44608,4252,22.52
"2020-05-21 00:00:00",Australia,8,52,28.1
"2020-05-21 00:00:00",Ireland,115,0,27.29
"2020-05-21 00:00:00","New Zealand",1,0,30.81
"2020-05-21 00:00:00","United Kingdom",5134,0,25.54
"2020-05-21 00:00:00","United States",51372,2672,22.46
"2020-05-22 00:00:00",Australia,29,16,26.57
"2020-05-22 00:00:00",Ireland,76,0,25.83
"2020-05-22 00:00:00","New Zealand",1,0,29.21
"2020-05-22 00:00:00","United Kingdom",4114,0,25.34
"2020-05-22 00:00:00","United States",48999,4935,21.21
"2020-05-23 00:00:00",Australia,26,38,27.01
"2020-05-23 00:00:00",Ireland,57,0,26.28
"2020-05-23 00:00:00","New Zealand",0,0,29.14
"2020-05-23 00:00:00","United Kingdom",3064,0,25.21
"2020-05-23 00:00:00","United States",42647,10345,20.9
"2020-05-24 00:00:00",Australia,7,20,29.36
"2020-05-24 00:00:00",Ireland,59,0,25.54
"2020-05-24 00:00:00","New Zealand",0,0,32.12
"2020-05-24 00:00:00","United Kingdom",2746,0,25.44
"2020-05-24 00:00:00","United States",39879,4142,20.65
"2020-05-25 00:00:00",Australia,18,46,30.2
"2020-05-25 00:00:00",Ireland,37,0,26.6
"2020-05-25 00:00:00","New Zealand",0,0,31.12
"2020-05-25 00:00:00","United Kingdom",3250,0,24.23
"2020-05-25 00:00:00","United States",37409,8711,20.52
"2020-05-26 00:00:00",Australia,30,42,30.93
"2020-05-26 00:00:00",Ireland,68,0,25.16
"2020-05-26 00:00:00","New Zealand",0,0,29.68
"2020-05-26 00:00:00","United Kingdom",4140,0,26.07
"2020-05-26 00:00:00","United States",32971,4639,21.51
"2020-05-27 00:00:00",Australia,17,28,30.83
"2020-05-27 00:00:00",Ireland,38,0,23.49
"2020-05-27 00:00:00","New Zealand",0,0,29.02
"2020-05-27 00:00:00","United Kingdom",3650,0,24.27
"2020-05-27 00:00:00","United States",38618,6395,21.37
"2020-05-28 00:00:00",Australia,29,30,29.15
"2020-05-28 00:00:00",Ireland,35,0,23.19
"2020-05-28 00:00:00","New Zealand",0,0,28.08
"2020-05-28 00:00:00","United Kingdom",3514,0,23.22
"2020-05-28 00:00:00","United States",45952,7346,20.78
"2020-05-29 00:00:00",Australia,40,4,27
"2020-05-29 00:00:00",Ireland,53,0,23.28
"2020-05-29 00:00:00","New Zealand",0,0,25.4
"2020-05-29 00:00:00","United Kingdom",3062,0,23.76
"2020-05-29 00:00:00","United States",46851,5676,19.22
"2020-05-30 00:00:00",Australia,23,52,28.5
"2020-05-30 00:00:00",Ireland,61,0,23.26
"2020-05-30 00:00:00","New Zealand",0,0,25.98
"2020-05-30 00:00:00","United Kingdom",2264,0,24.13
"2020-05-30 00:00:00","United States",46782,9213,18.47
"2020-05-31 00:00:00",Australia,22,10,30
"2020-05-31 00:00:00",Ireland,72,0,23.86
"2020-05-31 00:00:00","New Zealand",0,0,26.56
